Comment,Designator,Footprint,LCSC Part #
0,REFRFIN RFAOUT+ RFAOUT- R2,R0402,
0.1nF,C10 C11,C0402,
0.1uF,C1 C2 C3 C4 C5 C6 C7 C8 C9,C0402,
1k,R10,R0402,
1nF,C12 C13,C0402,
2.7nF,C14,C0402,
5.1k,R8,R0402,
10k,R4 R5 R6 R7,R0402,
47,R1 R3 R9,R0402,
47nF,C15,C0402,
360,R11,R0402,
680pF,C16,C0402,
ADF4350BCPZ,U4,QFN50P500X500X100-33V2N,
